D,M,N,__pyience_timestamp__,acc_amm,acc_orig,corr,cossim,lut_work_const,method,muls,ncodebooks,nlookups,normalized_mse,problem,raw_mse,secs,task_id,trial,y_mean,y_std,yhat_mean,yhat_std
512,100,10000,2023-07-01T19_16_07,0.2912,0.7048,0.58867306,0.58852273,2,Mithral,5120000,2,2000000,0.6578044,softmax,11.551335,0.0088197370005218,CIFAR-100 Softmax,0,0.0052466886,4.190518,0.07015234,2.7353559
512,100,10000,2023-07-01T19_16_08,0.2912,0.7048,0.5886730551719666,0.588522732257843,-1,Mithral,5120000,2,2000000,0.6578044295310974,softmax,11.551335334777832,0.0088478130001021,CIFAR-100 Softmax,0,0.0052466886118054,4.190517902374268,0.0701523423194885,2.735355854034424
512,100,10000,2023-07-01T19_16_23,0.5331,0.7048,0.7348489165306091,0.7348425388336182,2,Mithral,5120000,4,4000000,0.4760089516639709,softmax,8.358926773071289,0.0156502460013143,CIFAR-100 Softmax,0,0.0052466886118054,4.190517902374268,0.0056906365789473,2.5491886138916016
512,100,10000,2023-07-01T19_16_50,0.5488,0.7048,0.7419188022613525,0.7419137954711914,4,Mithral,5120000,4,4000000,0.4577045142650604,softmax,8.037492752075195,0.0154687969989026,CIFAR-100 Softmax,0,0.0052466886118054,4.190517902374268,0.0018233191221952,3.487932205200196
512,100,10000,2023-07-01T19_16_51,0.5488,0.7048,0.7419188022613525,0.7419137954711914,-1,Mithral,5120000,4,4000000,0.4577045142650604,softmax,8.037492752075195,0.0155649690004793,CIFAR-100 Softmax,0,0.0052466886118054,4.190517902374268,0.0018238828051835,3.487932205200196
512,100,10000,2023-07-01T19_17_07,0.6348,0.7048,0.830510139465332,0.8305312991142273,2,Mithral,5120000,8,8000000,0.3734651505947113,softmax,6.5582122802734375,0.0293460430002596,CIFAR-100 Softmax,0,0.0052466886118054,4.190517902374268,0.0045654918067157,2.426621198654175
512,100,10000,2023-07-01T19_17_38,0.6495,0.7048,0.8564944863319397,0.8565012216567993,4,Mithral,5120000,8,8000000,0.2698543667793274,softmax,4.738761425018311,0.0289424270013114,CIFAR-100 Softmax,0,0.0052466886118054,4.190517902374268,0.0062805586494505,3.342004776000977
512,100,10000,2023-07-01T19_17_39,0.655,0.7048,0.8611235618591309,0.8611582517623901,-1,Mithral,5120000,8,8000000,0.2638503313064575,softmax,4.633327960968018,0.0289665930013143,CIFAR-100 Softmax,0,0.0052466886118054,4.190517902374268,0.0019415024435147,3.916587829589844
512,100,10000,2023-07-01T19_17_57,0.6822,0.7048,0.9027928709983826,0.902793288230896,2,Mithral,5120000,16,16000000,0.2899569869041443,softmax,5.091772079467773,0.0637634909999178,CIFAR-100 Softmax,0,0.0052466886118054,4.190517902374268,0.0060164597816765,2.425365209579468
512,100,10000,2023-07-01T19_18_28,0.688,0.7048,0.9198726415634156,0.919847846031189,4,Mithral,5120000,16,16000000,0.1730392128229141,softmax,3.038644790649414,0.0627866150007321,CIFAR-100 Softmax,0,0.0052466886118054,4.190517902374268,0.0056909369304776,3.2743589878082275
512,100,10000,2023-07-01T19_18_30,0.6931,0.7048,0.934634566307068,0.93470299243927,-1,Mithral,5120000,16,16000000,0.1287855803966522,softmax,2.261531352996826,0.0670438799988915,CIFAR-100 Softmax,0,0.0052466886118054,4.190517902374268,0.0093736201524734,4.122897624969482
512,100,10000,2023-07-01T19_18_52,0.696,0.7048,0.936780333518982,0.9368233680725098,2,Mithral,5120000,32,32000000,0.2337226867675781,softmax,4.104273319244385,0.143480124999769,CIFAR-100 Softmax,0,0.0052466886118054,4.190517902374268,0.0046366201713681,2.5274550914764404
512,100,10000,2023-07-01T19_19_25,0.6974,0.7048,0.9503324031829834,0.9503154158592224,4,Mithral,5120000,32,32000000,0.128746822476387,softmax,2.2608509063720703,0.1389524309997796,CIFAR-100 Softmax,0,0.0052466886118054,4.190517902374268,0.007281900383532,3.2341854572296143
512,100,10000,2023-07-01T19_19_31,0.7007,0.7048,0.9669786095619202,0.9669399857521056,-1,Mithral,5120000,32,32000000,0.0657481029629707,softmax,1.1545655727386477,0.1390062779992149,CIFAR-100 Softmax,0,0.0052466886118054,4.190517902374268,0.0079523269087076,4.1637139320373535
512,100,10000,2023-07-01T19_19_58,0.7015,0.7048,0.9707445502281188,0.9707508087158204,2,Mithral,5120000,64,64000000,0.1225014850497245,softmax,2.1511800289154053,0.2752834900002199,CIFAR-100 Softmax,0,0.0052466886118054,4.190517902374268,0.0052130306139588,3.000941276550293
512,100,10000,2023-07-01T19_20_31,0.7016,0.7048,0.976292848587036,0.9763144254684448,4,Mithral,5120000,64,64000000,0.0666429251432418,softmax,1.1702791452407837,0.2698941589987953,CIFAR-100 Softmax,0,0.0052466886118054,4.190517902374268,0.0053010145202279,3.5016908645629883
512,100,10000,2023-07-01T19_20_43,0.7017,0.7048,0.9847227334976196,0.9847285747528076,-1,Mithral,5120000,64,64000000,0.03068174421787262,softmax,0.538784921169281,0.2698803980001685,CIFAR-100 Softmax,0,0.005246688611805439,4.190517902374268,0.0028426763601601124,4.205233573913574
