D,M,N,__pyience_timestamp__,acc_amm,acc_orig,corr,cossim,lut_work_const,method,muls,ncodebooks,nlookups,normalized_mse,problem,raw_mse,secs,task_id,trial,y_mean,y_std,yhat_mean,yhat_std
512,10,10000,2023-07-01T19_15_58,0.9057,0.9359,0.9196978211402892,0.9197021126747132,1,MithralPQ,5120000,2,200000,0.1542292982339859,softmax,2.0870635509490967,0.0017771200000424,CIFAR-10 Softmax,0,0.0458060577511787,3.67861557006836,0.0605310648679733,3.4106993675231934
512,10,10000,2023-07-01T19_15_58,0.9191,0.9359,0.9275423288345336,0.9275528192520142,1,MithralPQ,5120000,4,400000,0.1457583457231521,softmax,1.972432971000672,0.0030693290009367,CIFAR-10 Softmax,0,0.0458060577511787,3.67861557006836,0.0425721034407615,3.124939203262329
512,10,10000,2023-07-01T19_15_58,0.9204,0.9359,0.9354405999183656,0.9354444146156312,1,MithralPQ,5120000,8,800000,0.1419940888881683,softmax,1.9214942455291748,0.0063126329987426,CIFAR-10 Softmax,0,0.0458060577511787,3.67861557006836,0.0476831644773483,2.96090054512024
512,10,10000,2023-07-01T19_15_59,0.9317,0.9359,0.9508512020111084,0.9508567452430724,1,MithralPQ,5120000,16,1600000,0.1101885959506034,softmax,1.4910954236984253,0.012014920999718,CIFAR-10 Softmax,0,0.0458060577511787,3.67861557006836,0.0452764704823493,3.057813882827759
512,10,10000,2023-07-01T19_15_59,0.9314,0.9359,0.9577447772026062,0.9577532410621644,1,MithralPQ,5120000,32,3200000,0.094394139945507,softmax,1.277361512184143,0.0254678800010879,CIFAR-10 Softmax,0,0.0458060577511787,3.67861557006836,0.0416738763451576,3.125807046890259
512,10,10000,2023-07-01T19_15_59,0.9326,0.9359,0.9685656428337096,0.9685648679733276,1,MithralPQ,5120000,64,6400000,0.0811128690838813,softmax,1.097636580467224,0.0519331679988681,CIFAR-10 Softmax,0,0.0458060577511787,3.67861557006836,0.0462594516575336,3.0528881549835205
512,10,10000,2023-08-12T21_24_19,0.9144,0.9359,0.930353581905365,0.9303340911865234,2,Mithral,5120000,2,200000,0.1353840976953506,softmax,1.832046389579773,0.0017317930000899,CIFAR-10 Softmax,0,0.0458060577511787,3.67861557006836,0.0742773860692977,3.531299591064453
512,10,10000,2023-08-12T21_24_20,0.9144,0.9359,0.930353581905365,0.9303340911865234,-1,Mithral,5120000,2,200000,0.1353840976953506,softmax,1.832046389579773,0.0016971520003608,CIFAR-10 Softmax,0,0.0458060577511787,3.67861557006836,0.0742768868803978,3.531299591064453
512,10,10000,2023-08-12T21_24_20,0.9239,0.9359,0.9481868147850036,0.9481980204582214,2,Mithral,5120000,4,400000,0.1014486625790596,softmax,1.372824788093567,0.0030869299998812,CIFAR-10 Softmax,0,0.0458060577511787,3.67861557006836,0.0445459000766277,3.404994487762451
512,10,10000,2023-08-12T21_24_20,0.9244,0.9359,0.9510613679885864,0.9510682821273804,4,Mithral,5120000,4,400000,0.0956025198101997,softmax,1.2937135696411133,0.0031875019999461,CIFAR-10 Softmax,0,0.0458060577511787,3.67861557006836,0.046806089580059,3.537923574447632
