D,M,N,__pyience_timestamp__,acc_amm,acc_orig,corr,cossim,lut_work_const,method,muls,ncodebooks,nlookups,normalized_mse,problem,raw_mse,secs,task_id,trial,y_mean,y_std,yhat_mean,yhat_std
512,10,10000,2023-08-12T21_24_21,0.9244,0.9359,0.9510613679885864,0.9510682821273804,-1,Mithral,5120000,4,400000,0.0956025198101997,softmax,1.2937135696411133,0.0031122820000746,CIFAR-10 Softmax,0,0.0458060577511787,3.67861557006836,0.046806089580059,3.537923574447632
512,10,10000,2023-08-12T21_24_21,0.9247,0.9359,0.955125629901886,0.9551305174827576,2,Mithral,5120000,8,800000,0.0936130359768867,softmax,1.2667914628982544,0.0058290519996262,CIFAR-10 Softmax,0,0.0458060577511787,3.67861557006836,0.0502888932824134,3.2315514087677
512,10,10000,2023-08-12T21_24_21,0.9247,0.9359,0.9623037576675416,0.962308943271637,4,Mithral,5120000,8,800000,0.0744287297129631,softmax,1.0071853399276731,0.0061341900000115,CIFAR-10 Softmax,0,0.0458060577511787,3.67861557006836,0.0428695902228355,3.4609687328338623
512,10,10000,2023-08-12T21_24_21,0.9251,0.9359,0.962993323802948,0.962989091873169,-1,Mithral,5120000,8,800000,0.0727274715900421,softmax,0.9841635823249816,0.005887021000035,CIFAR-10 Softmax,0,0.0458060577511787,3.67861557006836,0.0607646740972995,3.512392044067383
512,10,10000,2023-08-12T21_24_22,0.9315,0.9359,0.9656870365142822,0.9656834602355956,2,Mithral,5120000,16,1600000,0.0754955485463142,softmax,1.021621823310852,0.0118489120000049,CIFAR-10 Softmax,0,0.0458060577511787,3.67861557006836,0.0510922372341156,3.2223095893859863
512,10,10000,2023-08-12T21_24_22,0.9316,0.9359,0.9726900458335876,0.9726918935775756,4,Mithral,5120000,16,1600000,0.0559524968266487,softmax,0.7571610808372498,0.0116655769998033,CIFAR-10 Softmax,0,0.0458060577511787,3.67861557006836,0.0376598723232746,3.410768747329712
512,10,10000,2023-08-12T21_24_22,0.9314,0.9359,0.9763168096542358,0.9763199090957642,-1,Mithral,5120000,16,1600000,0.0469860285520553,softmax,0.6358249187469482,0.0116728399998464,CIFAR-10 Softmax,0,0.0458060577511787,3.67861557006836,0.0439381785690784,3.5411856174468994
512,10,10000,2023-08-12T21_24_23,0.9333,0.9359,0.9710718989372252,0.9710769057273864,2,Mithral,5120000,32,3200000,0.0640546679496765,softmax,0.8668013215065002,0.0239504390001457,CIFAR-10 Softmax,0,0.0458060577511787,3.67861557006836,0.0382796376943588,3.263688802719116
512,10,10000,2023-08-12T21_24_23,0.9334,0.9359,0.9788556694984436,0.9788562059402466,4,Mithral,5120000,32,3200000,0.0450482219457626,softmax,0.6096020936965942,0.0253233860003092,CIFAR-10 Softmax,0,0.0458060577511787,3.67861557006836,0.0380203612148761,3.392641305923462
512,10,10000,2023-08-12T21_24_23,0.933,0.9359,0.9859375357627868,0.9859318137168884,-1,Mithral,5120000,32,3200000,0.0279557704925537,softmax,0.3783034086227417,0.0243627139998352,CIFAR-10 Softmax,0,0.0458060577511787,3.67861557006836,0.0362354442477226,3.611019372940064
512,10,10000,2023-08-12T21_24_23,0.9331,0.9359,0.97788268327713,0.9778842329978944,2,Mithral,5120000,64,6400000,0.0556600727140903,softmax,0.7532039284706116,0.050201811000079,CIFAR-10 Softmax,0,0.0458060577511787,3.67861557006836,0.0470652766525745,3.1957807540893555
512,10,10000,2023-08-12T21_24_24,0.9335,0.9359,0.9830037355422974,0.9830062985420228,4,Mithral,5120000,64,6400000,0.0413993261754512,softmax,0.5602244734764099,0.0491007579998949,CIFAR-10 Softmax,0,0.0458060577511787,3.67861557006836,0.038869347423315,3.2935194969177246
512,10,10000,2023-08-12T21_24_24,0.9341,0.9359,0.9911574125289917,0.9911568760871887,-1,Mithral,5120000,64,6400000,0.018078455701470375,softmax,0.2446414977312088,0.05027800900006696,CIFAR-10 Softmax,0,0.04580605775117874,3.6786155700683594,0.04235967621207237,3.5666091442108154
