D,M,N,__pyience_timestamp__,acc_amm,acc_orig,corr,cossim,lut_work_const,method,muls,ncodebooks,nlookups,normalized_mse,problem,raw_mse,secs,task_id,trial,y_mean,y_std,yhat_mean,yhat_std
512,10,10000,2023-07-06T23_51_03,0.9333,0.9359,0.9710719,0.9710769,2,Mithral,5120000,32,3200000,0.06405467,softmax,0.8668013,0.0248087010040762,CIFAR-10 Softmax,0,0.045806058,3.6786156,0.038279638,3.2636888
512,10,10000,2023-07-06T23_51_03,0.9334,0.9359,0.9788556694984436,0.9788562059402466,4,Mithral,5120000,32,3200000,0.0450482219457626,softmax,0.6096020936965942,0.0261282209976343,CIFAR-10 Softmax,0,0.0458060577511787,3.67861557006836,0.0380203612148761,3.392641305923462
512,10,10000,2023-07-06T23_51_03,0.933,0.9359,0.9859375357627869,0.9859318137168884,-1,Mithral,5120000,32,3200000,0.02795577049255371,softmax,0.3783034086227417,0.025349345996801276,CIFAR-10 Softmax,0,0.04580605775117874,3.6786155700683594,0.036235444247722626,3.6110193729400635
