D,M,N,__pyience_timestamp__,acc_amm,acc_orig,corr,cossim,lut_work_const,method,muls,ncodebooks,nlookups,normalized_mse,problem,raw_mse,secs,task_id,trial,y_mean,y_std,yhat_mean,yhat_std
512,10,10000,2023-07-07T00_02_31,0.9333,0.9359,0.9710719,0.9710769,2,Mithral,5120000,32,3200000,0.06405467,softmax,0.8668013,0.0243954929974279,CIFAR-10 Softmax,0,0.045806058,3.6786156,0.038279638,3.2636888
512,10,10000,2023-07-07T00_02_31,0.9334,0.9359,0.9788556694984436,0.9788562059402466,4,Mithral,5120000,32,3200000,0.0450482219457626,softmax,0.6096020936965942,0.026015052004368,CIFAR-10 Softmax,0,0.0458060577511787,3.67861557006836,0.0380203612148761,3.392641305923462
512,10,10000,2023-07-07T00_02_31,0.933,0.9359,0.9859375357627868,0.9859318137168884,-1,Mithral,5120000,32,3200000,0.0279557704925537,softmax,0.3783034086227417,0.0247440730017842,CIFAR-10 Softmax,0,0.0458060577511787,3.67861557006836,0.0362354442477226,3.611019372940064
512,10,10000,2023-07-07T00_02_31,0.9331,0.9359,0.9778826832771301,0.9778842329978943,2,Mithral,5120000,64,6400000,0.05566007271409035,softmax,0.7532039284706116,0.05143700800545048,CIFAR-10 Softmax,0,0.04580605775117874,3.6786155700683594,0.04706527665257454,3.1957807540893555
