D,M,N,__pyience_timestamp__,acc_amm,acc_orig,corr,cossim,lut_work_const,method,muls,ncodebooks,nlookups,normalized_mse,problem,raw_mse,secs,task_id,trial,y_mean,y_std,yhat_mean,yhat_std
512,10,10000,2023-07-07T00_00_44,0.9314,0.9359,0.9763168,0.9763199,-1,Mithral,5120000,16,1600000,0.04698603,softmax,0.6358249,0.0121148799953516,CIFAR-10 Softmax,0,0.045806058,3.6786156,0.04393818,3.5411856
512,10,10000,2023-07-07T00_00_44,0.9333,0.9359,0.9710718989372252,0.9710769057273864,2,Mithral,5120000,32,3200000,0.0640546679496765,softmax,0.8668013215065002,0.024721446003241,CIFAR-10 Softmax,0,0.0458060577511787,3.67861557006836,0.0382796376943588,3.263688802719116
512,10,10000,2023-07-07T00_00_44,0.9334,0.9359,0.9788556694984436,0.9788562059402466,4,Mithral,5120000,32,3200000,0.045048221945762634,softmax,0.6096020936965942,0.02612135399976978,CIFAR-10 Softmax,0,0.04580605775117874,3.6786155700683594,0.038020361214876175,3.392641305923462
