D,M,N,__pyience_timestamp__,acc_amm,acc_orig,corr,cossim,lut_work_const,method,muls,ncodebooks,nlookups,normalized_mse,problem,raw_mse,secs,task_id,trial,y_mean,y_std,yhat_mean,yhat_std
512,10,10000,2023-07-06T23_54_19,0.9334,0.9359,0.97885567,0.9788562,4,Mithral,5120000,32,3200000,0.045048222,softmax,0.6096021,0.0262282240000786,CIFAR-10 Softmax,0,0.045806058,3.6786156,0.03802036,3.3926413
512,10,10000,2023-07-06T23_54_19,0.933,0.9359,0.9859375357627868,0.9859318137168884,-1,Mithral,5120000,32,3200000,0.0279557704925537,softmax,0.3783034086227417,0.0258567350028897,CIFAR-10 Softmax,0,0.0458060577511787,3.67861557006836,0.0362354442477226,3.611019372940064
512,10,10000,2023-07-06T23_54_19,0.9331,0.9359,0.9778826832771301,0.9778842329978943,2,Mithral,5120000,64,6400000,0.05566007271409035,softmax,0.7532039284706116,0.051208445998781826,CIFAR-10 Softmax,0,0.04580605775117874,3.6786155700683594,0.04706527665257454,3.1957807540893555
