D,M,N,__pyience_timestamp__,acc_amm,acc_orig,corr,cossim,lut_work_const,method,muls,ncodebooks,nlookups,normalized_mse,problem,raw_mse,secs,task_id,trial,y_mean,y_std,yhat_mean,yhat_std
512,10,10000,2023-07-06T23_51_04,0.9331,0.9359,0.9778827,0.97788423,2,Mithral,5120000,64,6400000,0.055660073,softmax,0.7532039,0.0510835199966095,CIFAR-10 Softmax,0,0.045806058,3.6786156,0.047065277,3.1957808
512,10,10000,2023-07-06T23_51_04,0.9335,0.9359,0.9830037355422974,0.9830062985420228,4,Mithral,5120000,64,6400000,0.0413993261754512,softmax,0.5602244734764099,0.0533704879999277,CIFAR-10 Softmax,0,0.0458060577511787,3.67861557006836,0.038869347423315,3.2935194969177246
512,10,10000,2023-07-06T23_51_04,0.9341,0.9359,0.9911574125289917,0.9911568760871887,-1,Mithral,5120000,64,6400000,0.018078455701470375,softmax,0.2446414977312088,0.0513000290011405,CIFAR-10 Softmax,0,0.04580605775117874,3.6786155700683594,0.04235967621207237,3.5666091442108154
