D,M,N,__pyience_timestamp__,acc_amm,acc_orig,corr,cossim,lut_work_const,method,muls,ncodebooks,nlookups,normalized_mse,problem,raw_mse,secs,task_id,trial,y_mean,y_std,yhat_mean,yhat_std
512,10,10000,2023-07-06T23_59_44,0.9144,0.9359,0.9303536,0.9303341,2,Mithral,5120000,2,200000,0.1353841,softmax,1.8320464,0.00177383999835,CIFAR-10 Softmax,0,0.045806058,3.6786156,0.074277386,3.5312996
512,10,10000,2023-07-06T23_59_44,0.9144,0.9359,0.930353581905365,0.9303340911865234,-1,Mithral,5120000,2,200000,0.1353840976953506,softmax,1.832046389579773,0.0017739100003382,CIFAR-10 Softmax,0,0.0458060577511787,3.67861557006836,0.0742768868803978,3.531299591064453
512,10,10000,2023-07-06T23_59_44,0.9239,0.9359,0.9481868147850037,0.9481980204582214,2,Mithral,5120000,4,400000,0.1014486625790596,softmax,1.372824788093567,0.0033292840016656555,CIFAR-10 Softmax,0,0.04580605775117874,3.6786155700683594,0.04454590007662773,3.404994487762451
