D,M,N,__pyience_timestamp__,acc_amm,acc_orig,corr,cossim,lut_work_const,method,muls,ncodebooks,nlookups,normalized_mse,problem,raw_mse,secs,task_id,trial,y_mean,y_std,yhat_mean,yhat_std
512,10,10000,2023-07-06T23_59_45,0.9244,0.9359,0.95106137,0.9510683,4,Mithral,5120000,4,400000,0.09560252,softmax,1.2937136,0.0033345219999318,CIFAR-10 Softmax,0,0.045806058,3.6786156,0.04680609,3.5379236
512,10,10000,2023-07-06T23_59_45,0.9244,0.9359,0.9510613679885864,0.9510682821273804,-1,Mithral,5120000,4,400000,0.0956025198101997,softmax,1.2937135696411133,0.0031863190015428,CIFAR-10 Softmax,0,0.0458060577511787,3.67861557006836,0.046806089580059,3.537923574447632
512,10,10000,2023-07-06T23_59_45,0.9247,0.9359,0.955125629901886,0.9551305174827576,2,Mithral,5120000,8,800000,0.0936130359768867,softmax,1.2667914628982544,0.0059286520045134,CIFAR-10 Softmax,0,0.0458060577511787,3.67861557006836,0.0502888932824134,3.2315514087677
512,10,10000,2023-07-06T23_59_45,0.9247,0.9359,0.9623037576675415,0.962308943271637,4,Mithral,5120000,8,800000,0.0744287297129631,softmax,1.0071853399276733,0.006047453003702685,CIFAR-10 Softmax,0,0.04580605775117874,3.6786155700683594,0.04286959022283554,3.4609687328338623
