D,M,N,__pyience_timestamp__,acc_amm,acc_orig,corr,cossim,lut_work_const,method,muls,ncodebooks,nlookups,normalized_mse,problem,raw_mse,secs,task_id,trial,y_mean,y_std,yhat_mean,yhat_std
512,10,10000,2023-08-12T21_24_20,0.9144,0.9359,0.9303536,0.9303341,-1,Mithral,5120000,2,200000,0.1353841,softmax,1.8320464,0.0016971520003608,CIFAR-10 Softmax,0,0.045806058,3.6786156,0.07427689,3.5312996
512,10,10000,2023-08-12T21_24_20,0.9239,0.9359,0.9481868147850036,0.9481980204582214,2,Mithral,5120000,4,400000,0.1014486625790596,softmax,1.372824788093567,0.0030869299998812,CIFAR-10 Softmax,0,0.0458060577511787,3.67861557006836,0.0445459000766277,3.404994487762451
512,10,10000,2023-08-12T21_24_20,0.9244,0.9359,0.9510613679885864,0.9510682821273804,4,Mithral,5120000,4,400000,0.09560251981019974,softmax,1.2937135696411133,0.0031875019999461074,CIFAR-10 Softmax,0,0.04580605775117874,3.6786155700683594,0.04680608958005905,3.537923574447632
